ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.01217366142770029,,2.2792385727986064e+36,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.8240789109880141e+65,,2.2252893767025833e+78,,82.14455494257233,2.059693485953383e+50,361352.2313713934,,,,,,1.8756557255825788e+26,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,4.8550913367438444e-51,4.3874301353724945e-37,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,2.7673829388152088e-06,,,,2.463164133180622e+22,2.091835264459734e+61,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,4.0598187775198117e-23,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,4.780491164815857e-62,,,,,3.266265019578228e-21,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.2640645103951913e+19,,1.4833198859833351e-30,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,3.061600923396993e+20,2.0485375132545024e+45,6.741634150863362e+29,,4.174438581818794e-09,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,7.910988654268639e-20,4.881531304795607e-46,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,1.6461104031797822e+36,,,5.331468810404425e-27,,,,,,,,239553171.13907617,,74.09571880861004,2737907284565955.0,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.01349605639946634,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.6524246297059383e-16,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e+160,1.820312536041949e-141,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,5.493562122987846e+140,,,1.0504547281721569e+34,126398.91542337716,4.692469631355845e-75,,,,,,,1.635871182377816e-27,,,,9.760602105429452e-50,,,
"$\hat{S}_{x,y}$",,,,9.519686790691584e-35,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,7.911460289437361e-06,,,1.8746938475720196e-55,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,8.053585665518113e-61,,4.245430341081998e-09,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,2.1310739942094402e+74,,5.33420430912031e+54,,1.2416829491012397e+60,8.785652216239836e+20,,6.375577697619259e+36,,,1.6343468457275526e+17,,,,0.0002494607861229802,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.1382194234271535e-21,235547381.45700872,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,1.568485316041895e-37,,,5685879147030.976,,1.7028084954263878e+52,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.7587429738498312e-13,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,5.872650992087031e-53,,,6.386958927301806e-53,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1571320128596.5205,0.00014879990069281227,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,6.112950767593159e+26,,,6.118652247007188e-18,,,,,1.5656903565253606e+52,8049992522365.116,,6720.43459265766,,0.021774444073734463,1.192917127420009e-10,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.2422371787572747e-13,6.364075542602417e-13,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,45.92539752627968,,,,1.5806625313105487e-15,12858985124973.889,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,7.776663479125307e-14,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1.0245269597084979e+49,,,4008.646070356789,,,,,,,8382811990.995199,,,632646108952102.8,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.0803081345506168e+81,2.0666037917713807e-73,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,9.25661825564219e-82,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,1.3458334213137948e-95,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,4.838856891590498e+72,,,7.430340071535791e+94,3.250043459740303e-17,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.0768819321570108e+16,,,5.811549651857194e-90,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.720711445148594e+89,,5.012313002555746e+34,3.1649121400647986e+47,2.897614106354972e+36,,,2.915112652913063e+24,,,,,7.853537371075982e+48,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.9950868979852343e-35,,1743832612600.5464,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,3.159645373218879e-48,5.734495345334309e-13,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.001432224586580163,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,3.4511151702596493e-37,,,,698.2145184281327,1.773622404717038e+22,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,5.638178663848911e-23,,,1.9019662738102648e-13,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.595186602376601e-11,,0.00041054185713576384,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,3.430399161420754e-25,,,,,5257716783782.242,,62688590695.91873,2.2486470101742466e+20,,,5.7644887562424645e+25,4.819603503499634e+24,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,4.447118625001576e-21,2435.805223313212,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,2.342494655891986e-06,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,2.0748594760417016e-25,,,426895.31755589653,,1.2158123673881704e-15,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,1.2733115699976532e-49,,,,,,1.734759216794521e-26,,,,,,822495334661069.1,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,8.70567683613171e-109,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.763652901959994e-60,
"$\hat{S}_{x,z}$",,,1.1486757650475126e+108,3.618399399182133e+59,,2.5447942436258122e+29,9.155735862493059e-34,,,,,,,2.558417567358647e-39,,,,8.365884786974436e-52,,,
"$\hat{S}_{x,y,z}$",,,,,,,4.8532061117768196e-42,,,,,,,,,,,,,3.9295907812774845e-30,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,5.804050554624463e-118,1.05557748404598e-106,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9.091090798519864e-12,,9.473487404894674e+105,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.060493572637259e+41,,109997801381.85527,1.7229346825782475e+117,1.557820541017718e+20,,,,194187046166.26334,,,,7.419170982309711e-17,,1.0922115000024752e+33,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,6.419224638973523e-21,,,,2.3322497816122916e+16,7960260185472239.0,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,4.287705407388641e-17,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.2562403447880209e-16,,,,7.89979469887294e-24,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,6.4905281327935935e-12,5.320870450437613e-13,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,5.522966299731315e-10,154070667215.4257,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,5.1496740886814766e-12,,,,,1.2658556812149428e+23,1810621223.6867144,,1879391744855.873,,,7.374519633428458e-06,244354.49499177575,3.908666094066953e+38,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,5.435912012709134e-26,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,4.0924149974554675e-06,,,1.839617708421338e+25,4.538191482294998e-06,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,1.3478594877842854e+16,,,,,,,135602.05270415614,,,,,220352.09486010767,1.1953308292710244e+51,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.345573936775907e-33,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.263348873046156e+32,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,9.319068272848995e+60,,1.0533395857162303e-33,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.0730686488406671e-61,
"$\hat{S}_{x,y,z}$",,,,,,,1.045215199188804e-38,,,,,,,,,,,,,9.493614533816638e+32,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.913651768970262e-23,,159957993664054.38,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.292905554193754e-27,6.2516413034050145e-15,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,9.56740775273938e+37,,5.22561113894876e+22,1.2058499804019788e+26,1.5030051497642878e-30,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.0016055943705705167,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,6.653337150287392e+29,,,,622.8223132376015,2.803985098544352e+22,,2546183853288925.5,,,,3.004645734544731e+35,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.566352761714516e-23,,,,1.4208015297194889e-08,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,3.9274461610786364e-16,,70382807.10448219,3786838998.587678,,2.647733338822022e+41,,17527773.4665047,0.019016306848545918,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.6034920311750417e-13,3.7768153814345235e-42,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.640724890529952e-10,6236388959583.405,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,5.705231197282326e-08,,,,1.0945153705378952e-13,305807062424.3985,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,3.270035662591081e-12,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,3.328179387349709e-36,,,,52.5864463570362,,,9136463743844.492,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.7131762591096895e+50,1.4509594903051835e-131,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.693112123472885e-51,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,1e-160,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,6.891991173300557e+130,,,1e+160,6.31176022285177e+23,,,,4.941095483631206e-47,,,,,,,,,8.094682715199206e-35,,
"$\hat{S}_{x,y,z}$",,,,1.584344088958724e-24,,,6.761402914104538e-21,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.0496967532322198e-36,1.1848909924707531e-07,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.4789830050121148e+20,,1.1698976589649099e+27,9.526560855988228e+35,1.095787503800022e-33,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,8.547756227538482e-28,,8439594.919316456,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,2.0238426950314693e+46,,,9.125856943359495e+32,,,,3.2072351000659294e+22,1.663274977002033e+51,,,,,,,4.3787061906511224e+16,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,3.1179504114913293e-23,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,6.012234981148145e-52,,,6.221980139014669e-33,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,1.6072053874449733e+32,,2.302081112064065e+19,87023835984.8195,,,,6.729250987163506e-14,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.1491104577077488e-11,3184.032047168968,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,4.3438955941191475e-20,,0.00031406719065190763,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,1.2353788717651924e+34,,,,,,2.283779629094726e-17,,,14860494903631.422,,,87118435169882.28,,854604415193.9191,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.1478626745877433e-14,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.1701320309386527e-12,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.6147501414965126e-67,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.8244571981461495e+66,,,,,,,,,,,,,,,,,,7.096371504157071e-99,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,6.957637965419056e-77,
"$\hat{S}_{x,z}$",,,1.409170869104299e+98,1.4372693793069045e+76,,332864197467.06024,1.895211471099055e-26,,,,,,,,,,1.3723977379139757e-14,2.9079671091765355e-17,,,
"$\hat{S}_{x,y,z}$",,,,,,,1.5641072639303971e-58,,,,,,,,,,,,,3.0042281735600552e-12,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,4.1013015153563235e-11,,1.9249402366598204e+23,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,6.393423411941268e+57,,24382503852.880455,1.4556768795264e+38,1.7785843017504385e+20,,,,,,,15043.73530780047,5.975296630058217e-10,,5.276456032740708e+25,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.86965640565334e-39,5.194966477168206e-24,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,5.622449264934054e-21,,,,3.2360306709241162,8.961326360032493e+18,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.3090205568769931,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.1159062395718552e-19,,,,,17877404.679943457,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,6.847902695716564e-13,,3.5780424171665177e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1460301123474.6526,2.0805854199407226e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,5.5936530939633165e-08,4.806339554318758e+16,279482.43296453386,,,0.009161978400827255,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,3.5117256483279244e-28,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,6.64728526220134e-05,,,,,,,,109.14673187940586,,,0.2520438814031961,2.847602860081455e+27,72865174021634.95,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,1673557083.2912056,,,,,,,,,,3.967563086367068,,,3.438828440818147e+16,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,42132246.24074429,2.5172023327038345e-94,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.3734789602386373e-08,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,4.3792667794281514e-16,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,3.9726643623671575e+93,,,2283487283071119.5,4.8588220166527464e+16,,,,,1.3763977661951905e-49,,,,,,,1.085874605930501e-21,,,
"$\hat{S}_{x,y,z}$",,,,2.0581120209233394e-17,,,2.6596119387441287e-64,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.7599470262274466e+63,,5403036672796504.0,5.789134948228311e+36,,2.751366311417669e-06,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.8508110541519237e-16,,76734.49451783455,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.7273737940865187e-37,1.3031948751126276e-05,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,3.771482975010741e-08,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,7.2653416371368e+48,,,363455.78407723544,,,26514769.034510944,,4860793.869709481,,,,,,5.508920241779067e+24,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,2.0572771172865388e-07,,,7.6700029377153574e+25,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.3037804654320865e-26,2.2476863934700367e+23,,377494012077975.94,,,,4.03158636966667e+28,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4.4490192355356744e-24,46050.401922874335,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.1715337070777575e-05,2.649048641845577e-15,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,7.438903857813144e-20,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,2.4804131880292065e-29,,,1.3442840761407226e+19,1.029667262042972e-06,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,9.209166459354541e+20,,,,,,,1.8152377527924729e-25,,,,,,,,971187.5251971118,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.3156172959995415e+62,1.4386182368212317e-65,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.0160296280470914e-63,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,8.375256285767032e-40,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,6.951114440267338e+64,,,1.1939933130158738e+39,6.424877637690675e-12,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,155644987561.10706,,,3.0450306047023563e-58,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.828815966715936e-12,,51410870.466462694,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.2699470841541947,1.9451139242085753e-08,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.284039242350234e+57,,353504792028.2111,3.7044297149318215,,15792.10531703095,42728870488.760956,,,,,72255603.10905123,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,6.332277932072507e-05,,,3.0577041939159764e+24,,3.4314683485154885e-07,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,3.2704275383790747e-25,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,2.340338016337295e-11,,,,2914204.3534588246,,,4.5410671032815547e+21,,,3.669057643989901e+18,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.7941212910256468e-15,11.964619049113567,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.08357976095144357,2.4442676871842766e-08,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,2.202125573694695e-22,557375917114460.6,,40912049.250709124,,1.734313997717369e-17,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,7.1444443940644e-19,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,1.3839757153376154e-08,,,,,2.7254954733078394e-19,,5.765968569221939e+16,,,,1887967.2831145988,1.3996889678794327e+18,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,5.296701955291778e-07,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,6.19107365307623e-10,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1615228724.5090656,,,,,,,,,,,,,,,,,,3.460466290554736e-119,
"$\hat{S}_{x,z}$",,,2.889783965616071e+118,4.4464700795795767e+30,,5529.05721380519,3.2125624651991068e-77,,,,,,,3.039225415660393e-41,,,,2.587365656761429e-18,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.248974989379783e-31,
"$\hat{S}_{x,y,z}$",,,,,,,3.269638319652008e-63,,,,,,,,,,,,,0.00018086266090775051,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,7.269313388418694e-51,2.6770108134719195e-31,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,7.93000781248854e-15,,3.735509752024726e+30,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.0584422564096673e+62,,126103280557322.3,1.3756457406186084e+50,4477600800849121.0,,,,7.217511895761575e+30,,,,1.9499637163127114e+18,,3.112779940725674e+76,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,2.2333388894569663e-16,,,,1524069.878767276,1.3972606579132385e+48,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,6.561378936304659e-07,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,7.156860778528368e-49,,,,3.4676137893465236e-21,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.742944929958462e-10,8.287638912308328e-11,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.6513940767020048e-13,3645716649.56884,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,1.385519018800983e-31,,,,,2.8838274985301964e+20,6055489807721.108,,12066162758.549448,,18498981863378.723,1478729.3965068506,,3.2903120474290657e+40,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,5.4057029050860226e-14,,,,0.13997769754429418,400837.65760793025,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,2.494775580637002e-06,,,,
